Walker	GA	(255, 241, 150)
Dade	GA	(255, 241, 140)
Long	GA	(255, 241, 130)
Appling	GA	(255, 241, 120)
Jeff Davis	GA	(255, 241, 110)
Stewart	GA	(255, 241, 100)
Webster	GA	(255, 241, 90)
Sumter	GA	(255, 241, 80)
Wilcox	GA	(255, 241, 70)
Telfair	GA	(255, 241, 60)
Wheeler	GA	(255, 241, 50)
Dodge	GA	(255, 241, 40)
Pulaski	GA	(255, 241, 30)
Dooly	GA	(255, 241, 20)
Macon	GA	(255, 241, 10)
Schley	GA	(255, 241, 0)
Marion	GA	(255, 240, 246)
Chattahoochee	GA	(255, 240, 236)
Muscogee	GA	(255, 240, 226)
Taylor	GA	(255, 240, 216)
Talbot	GA	(255, 240, 206)
Harris	GA	(255, 240, 196)
Troup	GA	(255, 240, 186)
Carroll	GA	(255, 240, 176)
Paulding	GA	(255, 240, 166)
Murray	GA	(255, 240, 156)
Gordon	GA	(255, 240, 146)
Bartow	GA	(255, 240, 136)
Cobb	GA	(255, 240, 126)
Douglas	GA	(255, 240, 116)
Coweta	GA	(255, 240, 106)
Meriwether	GA	(255, 240, 96)
Pike	GA	(255, 240, 86)
Upson	GA	(255, 240, 76)
Crawford	GA	(255, 240, 66)
Peach	GA	(255, 240, 56)
Houston	GA	(255, 240, 46)
Bleckley	GA	(255, 240, 36)
Laurens	GA	(255, 240, 26)
Wilkinson	GA	(255, 240, 16)
Twiggs	GA	(255, 240, 6)
Bibb	GA	(255, 239, 252)
Baldwin	GA	(255, 239, 242)
Jones	GA	(255, 239, 232)
Monroe	GA	(255, 239, 222)
Lamar	GA	(255, 239, 212)
Spalding	GA	(255, 239, 202)
Fayette	GA	(255, 239, 192)
Clayton	GA	(255, 239, 182)
Butts	GA	(255, 239, 172)
Henry	GA	(255, 239, 162)
DeKalb	GA	(255, 239, 152)
Fulton	GA	(255, 239, 142)
Cherokee	GA	(255, 239, 132)
Pickens	GA	(255, 239, 122)
Dawson	GA	(255, 239, 112)
Forsyth	GA	(255, 239, 102)
Gwinnett	GA	(255, 239, 92)
Rockdale	GA	(255, 239, 82)
Jasper	GA	(255, 239, 72)
Newton	GA	(255, 239, 62)
Walton	GA	(255, 239, 52)
Barrow	GA	(255, 239, 42)
Jackson	GA	(255, 239, 32)
Clarke	GA	(255, 239, 22)
Oconee	GA	(255, 239, 12)
Morgan	GA	(255, 239, 2)
Putnam	GA	(255, 238, 248)
Hancock	GA	(255, 238, 238)
Taliaferro	GA	(255, 238, 228)
Greene	GA	(255, 238, 218)
Oglethorpe	GA	(255, 238, 208)
Wilkes	GA	(255, 238, 198)
Warren	GA	(255, 238, 188)
